pnt cod0 cod1 cod2 cod3 cod4 
-0.09684177215189874 0.02618685156105187 0.025011051249265413 0.024906045918180256 0.02490501021705946 0.024904978915901953 
-0.09303797468354431 0.02648224767649607 0.02530722431626737 0.02520100679443156 0.0251999602417418 0.025199928588876815 
-0.08917721518987343 0.02677685707246229 0.02560424866553974 0.025496820654208493 0.025495763636654737 0.025495731634777752 
-0.08525949367088607 0.027046283868810788 0.025877396503715937 0.025768859180057696 0.02576779283313657 0.02576776051275175 
-0.08128481012658229 0.027321688702617107 0.026158725117806186 0.02604905233649369 0.026047976858222032 0.02604794421502472 
-0.07725316455696202 0.027566265488342886 0.0264100815974153 0.02629939807673362 0.026298314595063862 0.026298281665638017 
-0.07316455696202533 0.02782026033058174 0.026673747293898036 0.02656201249406189 0.026560921287972064 0.02656088806501489 
-0.06901898734177216 0.02804007465640198 0.026903518573702722 0.026790871536515114 0.02678977364532983 0.026789740168766677 
-0.06481645569620254 0.028252949922874568 0.027128681816949253 0.027015149216921254 0.02701404543445329 0.02701401171542799 
-0.06055696202531646 0.028466303573748034 0.02735735197464328 0.027242929530630802 0.0272418204630103 0.02724178650493242 
-0.056240506329113926 0.028660556314043212 0.02756848431392595 0.027453248976631577 0.027452135440423697 0.027452101267633946 
-0.05186708860759494 0.02883540129353791 0.027761947177021733 0.02764597709612276 0.027644860112528834 0.027644825750100417 
-0.0474367088607595 0.029011189686472712 0.02796048356195993 0.027843772228008674 0.02784265271974579 0.02784261817238583 
-0.042949367088607596 0.029158255746911516 0.028130907718260465 0.02801357259295978 0.028012451545472973 0.028012416847866498 
-0.03840506329113924 0.029294853022867707 0.028294021753537565 0.02817610377542094 0.028174982318471237 0.028174947487561997 
-0.03380379746835443 0.029426280266705542 0.02845655837067803 0.028338076082054846 0.028336955429963433 0.028336920478636094 
-0.029145569620253168 0.029534165339359725 0.028596762673746563 0.028477812458365996 0.02847669362683216 0.028476658584972652 
-0.024430379746835446 0.029629430912153715 0.02872877906387137 0.028609410581333122 0.02860829498731749 0.0286082598767562 
-0.019658227848101267 0.02971065995176171 0.02885132947809619 0.028731598517498954 0.028730487662166765 0.02873045250677217 
-0.014829113924050634 0.02977257554053748 0.02895747257395575 0.028837458139407083 0.028836353432650758 0.02883631826060667 
-0.009943037974683546 0.029821367715670666 0.029057757194313753 0.02893751025315659 0.028936413851546005 0.028936378690107335 
-0.005 0.02985052510014014 0.029141180157982772 0.02902078250022532 0.029019695821101765 0.02901966069950966 
0.0 0.029863614774340536 0.029216411145447735 0.029095926718333272 0.02909485221256275 0.029094817163448458 
0.005 0.02985919247084582 0.02927963651929636 0.02915913741528296 0.02915807711035019 0.029158042165391057 
0.009943037974683546 0.02983690919511887 0.029331874346923865 0.029211433250515437 0.029210389512181866 0.029210354705788682 
0.014829113924050634 0.02979613952083579 0.02937290515712902 0.029252596294344138 0.02925157180769071 0.02925153717579843 
0.019658227848101267 0.02973807861146912 0.029403411985193924 0.029283303833920714 0.02928230102979847 0.029282266606238512 
0.024430379746835446 0.02966487332931448 0.02942480108135294 0.029304952605503653 0.02930397349020052 0.029303939305111684 
0.029145569620253168 0.029576728383377306 0.029438115180113654 0.029318581137328454 0.02931762806719982 0.02931759415071984 
0.03380379746835443 0.02947358919282636 0.029441625314736666 0.029322458925246493 0.02932153414371196 0.029321500522915715 
0.03840506329113924 0.02935199908167094 0.029431963463776207 0.029313228437406764 0.029312333990515207 0.02931230069479344 
0.042949367088607596 0.029216011186954157 0.029410715980198614 0.02929245951207579 0.02929159649913653 0.029291563548523466 
0.0474367088607595 0.029072518586694865 0.029380440677841478 0.0292626836465576 0.02926185199378742 0.029261819392596814 
0.05186708860759494 0.028904056646398193 0.02932731055134252 0.029210141152815554 0.02920934219115509 0.029209309967888553 
0.056240506329113926 0.02872938947588774 0.029263207549521848 0.02914664424707188 0.029145876977810802 0.02914584512889397 
0.06055696202531646 0.02854489237899132 0.029183991194784875 0.029068069462174478 0.029067332775282964 0.029067301300220116 
0.06481645569620254 0.02833216301335145 0.029073405700371185 0.02895823579010783 0.02895752981800679 0.028957498740401523 
0.06901898734177216 0.02812236947703785 0.028955570296822646 0.028841145179563127 0.028840467217623976 0.02884043651587635 
0.07316455696202533 0.027894048608500047 0.028812607811529882 0.02869900673656413 0.02869835539277584 0.02869832507543339 
0.07725316455696202 0.027653749809320415 0.02864977821019863 0.028537057045979676 0.028536430653686863 0.028536400720670124 
0.08128481012658229 0.027398929477596923 0.028464687774234155 0.02835291394295925 0.02835231120040937 0.028352281655326165 
0.08525949367088607 0.027140820040671546 0.028267692467788697 0.02815688945689197 0.028156308477668035 0.028156279310701856 
0.08917721518987343 0.026861492688236566 0.028043241117898902 0.027933503300584243 0.02793294306948159 0.027932914294940506 
0.09303797468354431 0.026582114112977426 0.027810553856227726 0.02770189208609887 0.02770135063137412 0.02770132223718359 
0.09684177215189874 0.02628551753262923 0.02755502318010438 0.02744751525604968 0.027446991792309673 0.027446963789757584 
0.10058860759493672 0.025965719852745223 0.027271433511252552 0.02716518045849468 0.02716467462328223 0.027164647031726833 
0.10427848101265823 0.0256438072063993 0.026979547152175515 0.026874565455527338 0.026874075901233144 0.026874048714342912 
0.10791139240506328 0.025308123872147828 0.026669396313577984 0.026565747656666982 0.02656527371312445 0.02656524694021248 
0.1114873417721519 0.02495828870883347 0.026340841414646893 0.026238588547122063 0.02623812969117474 0.026238103342347188 
0.11500632911392407 0.024624014065132167 0.02602244678973232 0.025921533059202584 0.025921087609560554 0.025921061659696713 
0.11846835443037974 0.024254835215772423 0.025666443339026946 0.02556701360941425 0.02556658199527624 0.025566556480179015 
0.121873417721519 0.023885755467517634 0.025306635717419226 0.025208694018045458 0.025208275510698288 0.025208250424855107 
0.1252215189873418 0.023503982984408416 0.02493089045271305 0.02483449181623539 0.02483408607855497 0.024834061431868976 
0.1285126582278481 0.023103113953516698 0.024533200248472276 0.024438425019362487 0.024438031926763026 0.024438007736926837 
0.13174683544303797 0.022689671677269773 0.024119996263206735 0.02402689844044791 0.02402651767331445 0.024026493950531542 
0.1349240506329114 0.022289514147833128 0.023716888129739856 0.02362541717577723 0.0236250476064946 0.023625024331334933 
0.13804430379746835 0.021864657712726734 0.02328666457336961 0.023196922943582127 0.023196564795966917 0.023196541993090288 
0.14110759493670885 0.02142990864959659 0.022843887854151163 0.02275591816920452 0.02275557114449169 0.022755548821472807 
0.14411392405063292 0.020974413670921472 0.022378112249340172 0.022292000601540452 0.02229166479111674 0.02229164296838217 
0.1470632911392405 0.02051913516666813 0.021909896475671577 0.02182564445686639 0.021825319234381354 0.02182529790806394 
0.14995569620253163 0.020052230688009966 0.021427770061819208 0.021345426793679068 0.021345112146202407 0.021345091326371673 
0.15279113924050633 0.019581072636830694 0.02093908148704563 0.02085866605472161 0.020858361679645655 0.020858341367986057 
0.15556962025316456 0.019077812948695788 0.020416307986609063 0.02033795196881692 0.020337658354985147 0.020337638585182494 
0.15829113924050633 0.01859398936581823 0.019910867049134067 0.01983449337213149 0.019834209411500242 0.019834190158709346 
