pnt cod0 cod1 cod2 cod3 cod4 
-0.20634433962264154 -1.8672315389220323e-07 -1.6892496696569733e-07 -1.6955588429431773e-07 -1.694607808386604e-07 -1.695006392568444e-07 
-0.20566981132075468 -2.2099793644695786e-07 -2.0203416390537266e-07 -2.0272189938276745e-07 -2.0261811462314828e-07 -2.0266160035771374e-07 
-0.2049811320754717 -7.740224785351916e-07 -7.281817018460671e-07 -7.298501062549199e-07 -7.295979693544355e-07 -7.297036159314223e-07 
-0.20427830188679247 -1.5509419911548355e-06 -1.4859616785572123e-06 -1.4885922994884193e-06 -1.4881927338667104e-06 -1.4883599090866345e-06 
-0.20356132075471695 -1.754309546414518e-05 -1.704463356169632e-05 -1.7067445534698776e-05 -1.7063962015116354e-05 -1.7065417144547993e-05 
-0.2028301886792453 -1.960963279653008e-05 -1.9098106441207582e-05 -1.9123212938216962e-05 -1.9119368405506508e-05 -1.912097283704072e-05 
-0.20208490566037737 -0.00020518628099427686 -0.00020021820173791617 -0.00020046928047925502 -0.00020043079181650711 -0.00020044684645710684 
-0.20132547169811318 -0.0014066947166060518 -0.0013737493252642984 -0.0013754503634277999 -0.0013751893953767667 -0.001375298200887146 
-0.20055188679245284 -0.006182169906424561 -0.00605093952055672 -0.006058365987329685 -0.006057222817874394 -0.00605769867079657 
-0.19976415094339622 0.0025170789581261126 0.0023801695655473014 0.0023833782779317165 0.0023829082999429732 0.002383107492961677 
-0.19896226415094337 0.004050838046954104 0.003839571559161367 0.003844715376806006 0.0038439596993501725 0.003844279432382693 
-0.19814622641509433 0.00497713840030611 0.004719006969665972 0.004725321010536704 0.0047243930447324264 0.004724785251165829 
-0.19731603773584908 0.00571305910966486 0.00541697198920739 0.005424216070287709 0.0054231513330655675 0.005423601156898009 
-0.19647169811320753 0.006324031272834592 0.0059955494901808995 0.006003566838892963 0.006002388678873154 0.006002886390526028 
-0.19561320754716982 0.006920260503982703 0.006561359618427017 0.0065701284827862656 0.006568839813094721 0.0065693842447735115 
-0.19474056603773587 0.007483059416064831 0.007095729451962526 0.007105206806981762 0.007103813906020029 0.007104402384779495 
-0.19385377358490563 0.007998298326031097 0.007584687192263391 0.007594813213519287 0.007593324958940971 0.00759395365934805 
-0.19295283018867926 0.008481745712471327 0.008043399510105045 0.008054133508432678 0.008052555906755778 0.008053222152511936 
-0.19203773584905662 0.00895387629924228 0.008491791094062204 0.008503117635511011 0.008501452771504573 0.008502155545520047 
-0.19110849056603774 0.009408153648688099 0.008923338238566733 0.008935234387118096 0.008933485490726185 0.008934223421949805 
-0.19016509433962264 0.009846933229864937 0.00934028293872508 0.00935272831588897 0.009350898228107977 0.00935167017655004 
-0.18920754716981136 0.010267712574192485 0.009740127492935543 0.009753098949245798 0.009751191020555272 0.009751995597462666 
-0.18823584905660376 0.010669243989899371 0.010121637634571698 0.010135110630713989 0.0101331284963582 0.010133964129093884 
-0.18725 0.011055401502573106 0.01048853905183671 0.010502493976522871 0.010500440555133026 0.010501306007410343 
-0.18625000000000003 0.01145858230481871 0.010872363838366124 0.010886820317158078 0.010884692424197779 0.010885589060944553 
-0.18523584905660376 0.011842665567907487 0.011237909504329645 0.011252843421008124 0.01125064457106735 0.011251570853314042 
-0.18420754716981133 0.012184732714203155 0.011562760315924622 0.011578119835987265 0.011575857884931748 0.011576810417785499 
-0.18316509433962266 0.012558198004765035 0.011918517254810386 0.011934339387450107 0.011932008630423629 0.011932989814675525 
-0.18210849056603773 0.012917694454520165 0.012260859095961632 0.012277126216247509 0.012274729370732332 0.012275738109441926 
-0.1810377358490566 0.013247325631611373 0.012574350937409733 0.012591026178859946 0.012588568835920884 0.012589602839945683 
-0.17995283018867927 0.013583936602224008 0.012894939212483466 0.012912030176932614 0.0129095110244134 0.012910570904140762 
-0.17885377358490567 0.013916770080090091 0.013212064265032531 0.013229565817197657 0.01322698541169382 0.013228071026955524 
-0.17774056603773586 0.014242540211972545 0.01352252837844641 0.013540431382412886 0.013537790938533644 0.01353890179693888 
-0.1766132075471698 0.014581271358671563 0.01384586194573988 0.013864181260766342 0.01386147841538149 0.013862615519890946 
-0.17547169811320754 0.014894290987909438 0.014144272453563006 0.014162976395044881 0.014160216059976543 0.014161377475782264 
-0.17431603773584908 0.015208241004914677 0.01444382444575922 0.014462913346758689 0.014460095425578887 0.01446128118634384 
-0.17314622641509433 0.015516056424728723 0.0147375763400918 0.014757042156166335 0.014754167820548038 0.014755377361371115 
-0.1719622641509434 0.015812299653585934 0.015020258116943295 0.015040086165835818 0.015037157542622626 0.015038389982131986 
-0.17076415094339623 0.016122180885293467 0.015316403853461846 0.01533661004092611 0.015333624561518292 0.015334881018575471 
-0.16955188679245284 0.01643295078203929 0.015613678751393597 0.015634263561429416 0.01563122100101672 0.015632501617008666 
-0.16832547169811318 0.016700869304598274 0.015869179204565095 0.015890090676760872 0.015886998970457585 0.015888300444594928 
-0.16708490566037737 0.016985610921557207 0.016141337719901862 0.016162595399282557 0.016159451560906184 0.01616077509767631 
-0.1658301886792453 0.017266803469382735 0.016410248171164887 0.01643184717893024 0.016428651958769767 0.016429997208875745 
-0.16456132075471697 0.017574792489571348 0.016705639709325308 0.016727611536274223 0.016724359928241485 0.016725729013525068 
-0.16327830188679246 0.01785024932654642 0.016969252212298187 0.016991557486812865 0.016988255495966047 0.016989645952242772 
-0.1619811320754717 0.018109217653398943 0.01721697111676673 0.017239589431545996 0.017236240084860553 0.017237650673273566 
-0.1606698113207547 0.018380860306539498 0.017477312883244136 0.017500258889070003 0.017496859793716447 0.01749829154405202 
-0.15934433962264152 0.018648983406854485 0.017734365169105294 0.01775763420188674 0.017754186074889943 0.017755638734889338 
-0.15800471698113208 0.018912185712385624 0.01798680056311812 0.01801038606622116 0.01800688993335088 0.018008363040218463 
-0.1566509433962264 0.019170308486965795 0.018234458499161756 0.0182583538981981 0.01825481071265461 0.018256303824756785 
-0.15528301886792453 0.019437065842056796 0.018490816721791585 0.01851503176666004 0.018511439852406143 0.01851295366394149 
-0.15390094339622643 0.01969274646255131 0.018736437231973376 0.018760958327725594 0.018757319717800376 0.018758853377239065 
-0.15250471698113208 0.01993338923210576 0.018967504304644594 0.01899231295210902 0.018988630507911455 0.018990182820222825 
-0.15109433962264152 0.02019850502727524 0.019222893422155964 0.019248018117635268 0.01924428735147062 0.01924586017721236 
-0.14966981132075471 0.020443757649415372 0.019458854843945925 0.019484271634372847 0.01948049624476634 0.019482088006902338 
-0.1482311320754717 0.020677427647127915 0.01968364920816719 0.019709343783680878 0.019705525863028713 0.01970713564487189 
-0.14677830188679247 0.020929149819126466 0.019926502499593227 0.019952495716052017 0.019948631885957715 0.019950261060389652 
